Study Year,Organism,MIC50
2015,Enterococcus faecalis,0.06
2015,Staphylococcus aureus,0.12
2015,Streptococcus pneumoniae,0.06
2016,Enterococcus faecalis,0.12
2016,Escherichia coli,0.5
2016,Klebsiella pneumoniae,2.0
2016,Pseudomonas aeruginosa,32.0
2016,Staphylococcus aureus,0.12
2016,Streptococcus pneumoniae,0.06
2017,Enterococcus faecalis,0.12
2017,Escherichia coli,0.5
2017,Klebsiella pneumoniae,2.0
2017,Pseudomonas aeruginosa,32.0
2017,Staphylococcus aureus,0.12
2017,Streptococcus pneumoniae,0.06
2018,Enterococcus faecalis,0.12
2018,Escherichia coli,1.0
2018,Klebsiella pneumoniae,2.0
2018,Pseudomonas aeruginosa,32.0
2018,Staphylococcus aureus,0.12
2018,Streptococcus pneumoniae,0.06
2019,Enterococcus faecalis,0.06
2019,Escherichia coli,0.5
2019,Klebsiella pneumoniae,1.0
2019,Pseudomonas aeruginosa,32.0
2019,Staphylococcus aureus,0.12
2019,Streptococcus pneumoniae,0.06
2020,Enterococcus faecalis,0.06
2020,Escherichia coli,0.5
2020,Klebsiella pneumoniae,1.0
2020,Pseudomonas aeruginosa,32.0
2020,Staphylococcus aureus,0.12
2020,Streptococcus pneumoniae,0.06
2021,Enterococcus faecalis,0.06
2021,Escherichia coli,0.5
2021,Klebsiella pneumoniae,2.0
2021,Pseudomonas aeruginosa,32.0
2021,Staphylococcus aureus,0.12
2021,Streptococcus pneumoniae,0.06
2022,Enterococcus faecalis,0.06
2022,Escherichia coli,0.5
2022,Klebsiella pneumoniae,1.0
2022,Pseudomonas aeruginosa,32.0
2022,Staphylococcus aureus,0.12
2022,Streptococcus pneumoniae,0.03
2023,Enterococcus faecalis,0.06
2023,Escherichia coli,0.5
2023,Klebsiella pneumoniae,1.0
2023,Pseudomonas aeruginosa,16.0
2023,Staphylococcus aureus,0.06
2023,Streptococcus pneumoniae,0.03
2024,Enterococcus faecalis,0.09
2024,Escherichia coli,0.5
2024,Klebsiella pneumoniae,1.0
2024,Staphylococcus aureus,0.12
2024,Streptococcus pneumoniae,0.03
2025,Enterococcus faecalis,0.06
2025,Escherichia coli,0.5
2025,Klebsiella pneumoniae,1.0
2025,Staphylococcus aureus,0.12
2025,Streptococcus pneumoniae,0.06
